"","srid","is_geographic","has_flipped_axes","spheroid","prime_meridian","datum","projection","unit","axis_1_name","axis_1_orientation","axis_2_name","axis_2_orientation"
"1",2000,0,0,"Clarke 1880 (RGS)","Greenwich","Anguilla_1957","Transverse_Mercator","metre","Easting","East","Northing","North"
"2",2001,0,0,"Clarke 1880 (RGS)","Greenwich","Antigua_1943","Transverse_Mercator","metre","Easting","East","Northing","North"
"3",2002,0,0,"Clarke 1880 (RGS)","Greenwich","Dominica_1945","Transverse_Mercator","metre","Easting","East","Northing","North"
"4",2003,0,0,"Clarke 1880 (RGS)","Greenwich","Grenada_1953","Transverse_Mercator","metre","Easting","East","Northing","North"
"5",2004,0,0,"Clarke 1880 (RGS)","Greenwich","Montserrat_1958","Transverse_Mercator","metre","Easting","East","Northing","North"
"6",2005,0,0,"Clarke 1880 (RGS)","Greenwich","St_Kitts_1955","Transverse_Mercator","metre","Easting","East","Northing","North"
"7",2006,0,0,"Clarke 1880 (RGS)","Greenwich","St_Lucia_1955","Transverse_Mercator","metre","Easting","East","Northing","North"
"8",2007,0,0,"Clarke 1880 (RGS)","Greenwich","St_Vincent_1945","Transverse_Mercator","metre","Easting","East","Northing","North"
"9",2008,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927_CGQ77","Transverse_Mercator","metre","X","East","Y","North"
"10",2009,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927_CGQ77","Transverse_Mercator","metre","X","East","Y","North"
"11",2010,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927_CGQ77","Transverse_Mercator","metre","X","East","Y","North"
"12",2011,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927_CGQ77","Transverse_Mercator","metre","X","East","Y","North"
"13",2012,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927_CGQ77","Transverse_Mercator","metre","X","East","Y","North"
"14",2013,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927_CGQ77","Transverse_Mercator","metre","X","East","Y","North"
"15",2014,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927_CGQ77","Transverse_Mercator","metre","X","East","Y","North"
"16",2015,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927_CGQ77","Transverse_Mercator","metre","X","East","Y","North"
